"filename", "language", "JavaScript", "CSS", "PHP", "comment", "blank", "total"
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\App.js", "JavaScript", 49, 0, 0, 1, 9, 59
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\components\nav.js", "JavaScript", 32, 0, 0, 0, 8, 40
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\index.css", "CSS", 0, 37, 0, 0, 4, 41
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\index.js", "JavaScript", 41, 0, 0, 3, 11, 55
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\pages\test\test.js", "JavaScript", 70, 0, 0, 1, 5, 76
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\pages\trainerUI\index.js", "JavaScript", 285, 0, 0, 1, 42, 328
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\pages\trainings\php\index.php", "PHP", 0, 0, 10, 2, 2, 14
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\pages\trainings\trainings.js", "JavaScript", 61, 0, 0, 1, 12, 74
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\pages\transcribed\index.js", "JavaScript", 85, 0, 0, 1, 9, 95
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\serviceWorker.js", "JavaScript", 98, 0, 0, 31, 13, 142
"c:\Users\Daniel Alves Rosel\Documents\Coding\React\Projects\room4fitness\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 722, 37, 10, 45, 116, 930
